Terms,Definition 1,Citation 1,Definition 2,Citation 2,Definition 3,Citation 3,Definition 4,Citation 4,Definition 5,Citation 5,Related terms and synonyms,Legal definition applicable
accountability,"1) relates to an allocated responsibility. The responsibility can be based on regulation or agreement or through assignment as part of delegation; 2) For systems, a property that ensures that actions of an entity can be traced uniquely to the entity; 3) In a governance context, the obligation of an individual or organization to account for its activities, for completion of a deliverable or task, accept the responsibility for those activities, deliverables or tasks, and to disclose the results in a transparent manner.",ISO/IEC_TS_5723:2022(en),"""accountable"" (adjective vs. noun): answerable for actions, decisions, and performance",ISO/IEC_TS_5723:2022(en),,,,,,,,
accuracy,Closeness of computations or estimates to the exact or true values that the statistics were intended to measure.,OECD,A qualitative assessment of correctness or freedom from error.,FDA_Glossary,The measure of an instrument's capability to approach a true or absolute value. It is a function of precision and bias.,FDA_Glossary,"The accuracy of a machine learning system is measured as the percentage of correct predictions or classifications made by the model over a specific data set. It is typically estimated using a test or ""hold out"" sample, other than the one(s) used to construct the model. Its complement, the error rate, is the proportion of incorrect predictions on the same data.",Raynor,"measure of closeness of results of observations, computations, or estimates to the true values or the values accepted as being true",ISO/IEC_TS_5723:2022(en),,
active learning,"A proposed method for modifying machine learning algorithms by allowing them to specify test regions to improve their accuracy. At any point, the algorithm can choose a new point x, observe the output and incorporate the new (x, y) pair into its training base. It has been applied to neural networks, prediction functions, and clustering functions.",Raynor,"Active learning (also called “query learning,” or sometimes “optimal experimental design” in the statistics literature) is a subfield of machine learning and, more generally, artificial intelligence. The key hypothesis is that, if the learning algorithm is allowed to choose the data from which it learns—to be “curious,” if you will—it will perform better with less training. ",settles_active_2009,"the process of learning through activities and/or discussion in class, as opposed to passively listening to an expert. ",Freeman_et_al_2014,,,,,,
active learning agent,"[a machine learning algorithm that can] decide what actions to take [with regards to its training data, in contrast to a passive learning agent, which is limited to a fixed policy].",Russell_and_Norvig,,,,,,,,,passive learning agent,
activity,Work that an organization performs using business processes; can be singular or compound.,IEEE_Guide_IPA,Set of cohesive tasks of a process.,CSRC,,,,,,,,
adaptive dynamic programming,An adaptive dynamic programming (or ADP) agent takes advantage of the constraints among the utilities of states by learning the transition model that connects them and solving the corresponding Markov decision process using dynamic programming.,Russell_and_Norvig,A means of learning a model and a reward function from observations that then uses value or policy iteration to obtain the utilities or an optimal policy; makes optimal use of the local constraints on utilities of states imposed through the neighborhood structure of the environment.,Russell_and_Norvig,,,,,,,,
adaptive learning,Updating predictive models online during their operation to react to concept drifts,"Gama,_Joao", ,,,,,,,,,
adversarial example,"Machine learning input sample formed by applying a small but intentionally worst-case perturbation ... to a clean example, such that the perturbed input causes a learned model to output an incorrect answer.",NISTIR_8269_Draft,Samples generated from real samples with carefully designed imperceptible perturbations,"Zhang,_Yonggang",,,,,,,adversarial perturbation,
adverse action notice,A notification of i) a refusal to grant credit in substantially the amount or on substantially the terms requested in an application unless the creditor makes a counteroffer (to grant credit in a different amount or on other terms) and the applicant uses or expressly accepts the credit offered; ii) A termination of an account or an unfavorable change in the terms of an account that does not affect all or substantially all of a class of the creditor's accounts or iii) A refusal to increase the amount of credit available to an applicant who has made an application for an increase.,ECOA,,,,,,,,,,
adverse impact ratio,"privileged and unprivileged groups receiving different outcomes irrespective of the decision maker’s intent and irrespective of the decision-making procedure. Quantified as the ratio: disparate impact ratio = 𝑃( 𝑦̂ (𝑋) = fav ∣∣ 𝑍 = unpr )/𝑃( 𝑦̂ (𝑋) = fav ∣∣ 𝑍 = priv ) where 𝑃(𝑦̂ (𝑋) = fav) is the favorable label, (𝑍 = priv) is the privileged group, and (𝑍 = unpr) is the unprivileged group.","Varshney,_Kush",,,,,,,,,"disparate impact ratio, relative risk ratio",
agile,a development approach that delivers software in increments by following the principles of the Manifesto for Agile Software Development.,Gartner ,"A philosophy and methodology used to describe the continuous, iterative process to develop and deliver software and other digital technologies. User requirements and feedback inform incremental development and delivery by developers.",NSCAI,,,,,,,,
AI principles,"[An overarching concept, value, belief, or norm that guides AI development, testing, and deployment across the AI lifecycle. The OECD] identifies five complementary values-based principles for the responsible stewardship of trustworthy AI and calls on AI actors to promote and implement them: inclusive growth, sustainable development and well-being; human-centred values and fairness; transparency and explainability; robustness, security and safety; and accountability.",OECD_CAI_recommendation,,,,,,,,,,
