filename,earnings_date
AMZN_2024Q2.txt,2024-08-01
AMZN_2024Q1.txt,2024-04-30
AMZN_2023Q4.txt,2024-02-01
AMZN_2023Q3.txt,2023-10-26
AMZN_2023Q2.txt,2023-08-03
AMZN_2023Q1.txt,2023-04-27
AMZN_2022Q4.txt,2023-02-02
AMZN_2022Q3.txt,2022-10-27
AMZN_2022Q2.txt,2022-07-28
AMZN_2022Q1.txt,2022-04-28
AMZN_2021Q4.txt,2022-02-03
AAPL_2024Q3.txt,2024-08-01
AAPL_2024Q2.txt,2024-05-02
AAPL_2024Q1.txt,2024-02-01
AAPL_2023Q4.txt,2023-11-02
AAPL_2023Q3.txt,2023-08-03
AAPL_2023Q2.txt,2023-05-04
AAPL_2023Q1.txt,2023-02-02
AAPL_2022Q4.txt,2022-10-27
AAPL_2022Q3.txt,2022-07-28
AAPL_2022Q2.txt,2022-04-28
AAPL_2022Q1.txt,2022-01-27
GOOGL_2024Q2.txt,2024-07-23
GOOGL_2024Q1.txt,2024-04-25
GOOGL_2023Q4.txt,2024-01-30
GOOGL_2023Q3.txt,2023-10-24
GOOGL_2023Q2.txt,2023-07-25
GOOGL_2023Q1.txt,2023-04-25
GOOGL_2022Q4.txt,2023-02-02
GOOGL_2022Q3.txt,2022-10-25
GOOGL_2022Q2.txt,2022-07-26
GOOGL_2022Q1.txt,2022-04-26
GOOGL_2021Q4.txt,2022-02-01
META_2024Q2.txt,2024-07-31
META_2024Q1.txt,2024-04-24
META_2023Q4.txt,2024-02-01
META_2023Q3.txt,2023-10-25
META_2023Q2.txt,2023-07-26
META_2023Q1.txt,2023-04-26
META_2022Q4.txt,2023-02-01
META_2022Q3.txt,2022-10-26
META_2022Q2.txt,2022-07-29
META_2022Q1.txt,2022-04-27
META_2021Q4.txt,2022-02-02
MSFT_2024Q4.txt,2024-07-30
MSFT_2024Q3.txt,2024-04-25
MSFT_2024Q2.txt,2024-01-30
MSFT_2024Q1.txt,2023-10-24
MSFT_2023Q4.txt,2023-07-25
MSFT_2023Q3.txt,2023-04-25
MSFT_2023Q2.txt,2023-01-24
MSFT_2023Q1.txt,2022-10-25
MSFT_2022Q4.txt,2022-07-26
MSFT_2022Q3.txt,2022-04-26
MSFT_2022Q2.txt,2022-01-25
NVDA_2025Q2.txt,2024-08-28
NVDA_2025Q1.txt,2024-05-22
NVDA_2024Q4.txt,2024-02-21
NVDA_2024Q3.txt,2023-11-21
NVDA_2024Q2.txt,2023-08-23
NVDA_2024Q1.txt,2023-05-24
NVDA_2023Q4.txt,2023-02-22
NVDA_2023Q3.txt,2022-11-16
NVDA_2023Q2.txt,2022-08-24
NVDA_2023Q1.txt,2022-05-25
NVDA_2022Q4.txt,2022-02-16
TSLA_2024Q2.txt,2024-07-24
TSLA_2024Q1.txt,2024-04-23
TSLA_2023Q4.txt,2024-01-24
TSLA_2023Q3.txt,2023-10-18
TSLA_2023Q2.txt,2023-07-19
TSLA_2023Q1.txt,2023-04-19
TSLA_2022Q4.txt,2023-01-25
TSLA_2022Q3.txt,2022-10-19
TSLA_2022Q2.txt,2022-07-20
TSLA_2022Q1.txt,2022-04-20
TSLA_2021Q4.txt,2022-01-26
